901 640 423
189 133 19 0
313 277 4 1
321 345 5 0
486 138 20 0
317 277 4 0
330 413 5 0
321 277 3 1
354 364 8 0
222 269 12 1
295 190 15 1
296 190 15 1
167 163 19 0
297 190 15 1
286 375 9 0
298 190 15 1
318 394 7 1
312 258 4 1
486 187 20 0
379 111 18 1
210 250 13 1
487 187 20 0
217 318 22 0
326 394 5 0
316 258 4 0
461 100 21 0
462 100 21 0
218 250 14 1
211 114 19 0
212 114 19 0
286 356 9 0
370 92 18 1
371 92 18 1
311 307 11 1
324 375 5 0
490 168 20 0
181 144 19 0
322 307 10 1
312 288 4 1
317 288 4 0
322 356 5 0
482 81 21 0
488 149 20 0
321 288 3 1
230 95 19 0
231 95 19 0
162 174 19 0
356 375 8 0
224 280 12 1
204 329 22 0
207 261 13 1
198 125 19 0
312 269 4 1
199 125 19 0
313 269 4 1
484 130 20 0
376 54 17 1
377 54 17 1
317 269 4 0
378 54 17 1
383 122 18 1
379 54 17 1
328 405 5 0
384 122 18 1
380 54 17 1
320 269 3 1
381 54 17 1
382 54 17 1
383 54 17 1
354 356 8 0
384 54 17 1
385 54 17 1
386 54 17 1
222 261 12 1
387 54 17 1
388 54 17 1
389 54 17 1
286 367 9 0
317 386 7 1
173 155 19 0
314 318 11 1
375 103 18 1
489 179 20 0
325 386 5 0
214 242 13 1
323 318 10 1
331 386 6 1
218 242 14 1
226 310 22 0
470 92 21 0
368 84 18 1
220 106 19 0
312 299 4 1
334 182 15 1
317 299 4 0
335 182 15 1
323 367 5 0
336 182 15 1
157 185 19 0
321 299 10 1
490 160 20 0
188 136 19 0
313 280 4 1
486 141 20 0
317 280 4 0
322 348 5 0
321 280 3 1
355 367 8 0
291 193 15 1
223 272 12 1
224 272 12 1
165 166 19 0
287 378 9 0
485 190 20 0
312 261 4 1
209 253 13 1
214 321 22 0
380 114 18 1
381 114 18 1
316 261 4 0
326 397 5 0
317 261 4 0
207 117 19 0
409 65 16 1
218 253 14 1
286 359 9 0
311 310 11 1
372 95 18 1
178 147 19 0
324 378 5 0
490 171 20 0
322 310 10 1
219 234 13 1
220 234 13 1
221 234 14 1
312 291 4 1
479 84 21 0
317 291 4 0
323 359 5 0
227 98 19 0
489 152 20 0
321 291 3 1
160 177 19 0
356 378 8 0
200 332 22 0
195 128 19 0
313 272 4 1
485 133 20 0
317 272 4 0
328 408 5 0
384 125 18 1
385 125 18 1
320 272 3 1
354 359 8 0
222 264 12 1
286 370 9 0
171 158 19 0
317 389 7 1
376 106 18 1
315 321 11 1
377 106 18 1
325 389 5 0
212 245 13 1
489 182 20 0
213 245 13 1
316 253 4 0
323 321 10 1
319 253 2 1
320 253 2 1
218 245 14 1
223 313 22 0
321 253 2 1
332 389 6 1
322 253 2 1
323 253 2 1
466 95 21 0
368 87 18 1
216 109 19 0
369 87 18 1
326 185 15 1
327 185 15 1
328 185 15 1
311 302 11 1
312 302 4 1
317 302 4 0
156 188 19 0
157 188 19 0
324 370 5 0
490 163 20 0
321 302 10 1
185 139 19 0
313 283 4 1
316 283 4 0
322 351 5 0
487 144 20 0
321 283 3 1
486 76 21 0
487 76 21 0
355 370 8 0
164 169 19 0
224 275 12 1
209 324 22 0
210 324 22 0
208 256 13 1
312 264 4 1
209 256 13 1
482 125 20 0
483 125 20 0
203 120 19 0
326 400 5 0
382 117 18 1
317 264 4 0
321 264 3 1
409 68 16 1
218 256 14 1
224 256 12 1
286 362 9 0
311 313 11 1
372 98 18 1
312 313 11 1
373 98 18 1
176 150 19 0
324 381 5 0
490 174 20 0
322 313 10 1
216 237 13 1
220 237 14 1
368 79 18 1
232 305 22 0
312 294 4 1
476 87 21 0
224 101 19 0
317 294 4 0
323 362 5 0
489 155 20 0
321 294 3 1
159 180 19 0
198 335 22 0
191 131 19 0
192 131 19 0
313 275 4 1
485 136 20 0
321 343 5 0
317 275 4 0
329 411 5 0
385 128 18 1
321 275 3 1
354 362 8 0
221 267 12 1
286 373 9 0
168 161 19 0
318 392 7 1
306 188 15 1
316 324 11 1
312 256 4 1
307 188 15 1
378 109 18 1
308 188 15 1
487 185 20 0
309 188 15 1
211 248 13 1
310 188 15 1
316 256 4 0
326 392 5 0
220 316 22 0
319 256 2 1
324 324 10 1
221 316 22 0
320 256 2 1
463 98 21 0
321 256 2 1
218 248 14 1
464 98 21 0
322 256 2 1
332 392 6 1
323 256 2 1
213 112 19 0
369 90 18 1
287 354 9 0
370 90 18 1
311 305 11 1
154 191 19 0
155 191 19 0
324 373 5 0
490 166 20 0
321 305 10 1
183 142 19 0
313 286 4 1
316 286 4 0
322 354 5 0
488 147 20 0
483 79 21 0
321 286 3 1
355 373 8 0
163 172 19 0
224 278 12 1
207 327 22 0
208 259 13 1
312 267 4 1
201 123 19 0
483 128 20 0
327 403 5 0
383 120 18 1
317 267 4 0
320 267 3 1
321 267 3 1
218 259 14 1
354 354 8 0
223 259 12 1
286 365 9 0
317 384 7 1
374 101 18 1
313 316 11 1
174 153 19 0
325 384 5 0
490 177 20 0
214 240 13 1
322 316 10 1
218 240 14 1
331 384 6 1
219 240 14 1
229 308 22 0
368 82 18 1
472 90 21 0
312 297 4 1
221 104 19 0
222 104 19 0
317 297 4 0
323 365 5 0
158 183 19 0
490 158 20 0
321 297 10 1
189 134 19 0
313 278 4 1
321 346 5 0
486 139 20 0
317 278 4 0
330 414 5 0
321 278 3 1
354 365 8 0
293 191 15 1
222 270 12 1
294 191 15 1
223 270 12 1
295 191 15 1
166 164 19 0
286 376 9 0
312 259 4 1
486 188 20 0
209 251 13 1
379 112 18 1
210 251 13 1
216 319 22 0
316 259 4 0
326 395 5 0
461 101 21 0
408 63 16 1
409 63 16 1
218 251 14 1
209 115 19 0
410 63 16 1
210 115 19 0
411 63 16 1
286 357 9 0
371 93 18 1
311 308 11 1
324 376 5 0
180 145 19 0
490 169 20 0
322 308 10 1
312 289 4 1
480 82 21 0
481 82 21 0
317 289 4 0
322 357 5 0
488 150 20 0
229 96 19 0
321 289 3 1
161 175 19 0
356 376 8 0
202 330 22 0
224 281 12 1
203 330 22 0
206 262 13 1
197 126 19 0
313 270 4 1
375 55 17 1
484 131 20 0
376 55 17 1
317 270 4 0
328 406 5 0
384 123 18 1
320 270 3 1
354 357 8 0
222 262 12 1
390 55 17 1
286 368 9 0
391 55 17 1
392 55 17 1
393 55 17 1
394 55 17 1
172 156 19 0
317 387 7 1
395 55 17 1
396 55 17 1
375 104 18 1
397 55 17 1
315 319 11 1
376 104 18 1
315 251 4 0
489 180 20 0
325 387 5 0
213 243 13 1
323 319 10 1
321 251 2 1
331 387 6 1
218 243 14 1
225 311 22 0
469 93 21 0
368 85 18 1
219 107 19 0
312 300 4 1
332 183 15 1
333 183 15 1
317 300 4 0
323 368 5 0
157 186 19 0
490 161 20 0
321 300 10 1
187 137 19 0
313 281 4 1
316 281 4 0
317 281 4 0
322 349 5 0
486 142 20 0
321 281 3 1
355 368 8 0
164 167 19 0
224 273 12 1
287 379 9 0
212 322 22 0
213 322 22 0
312 262 4 1
209 254 13 1
381 115 18 1
326 398 5 0
317 262 4 0
206 118 19 0
409 66 16 1
218 254 14 1
321 262 3 1
224 254 12 1
225 254 12 1
286 360 9 0
311 311 11 1
372 96 18 1
178 148 19 0
324 379 5 0
490 172 20 0
322 311 10 1
218 235 13 1
219 235 13 1
220 235 14 1
312 292 4 1
478 85 21 0
317 292 4 0
226 99 19 0
323 360 5 0
227 99 19 0
489 153 20 0
321 292 3 1
160 178 19 0
199 333 22 0
356 379 8 0
194 129 19 0
313 273 4 1
485 134 20 0
317 273 4 0
328 409 5 0
329 409 5 0
385 126 18 1
320 273 3 1
354 360 8 0
221 265 12 1
222 265 12 1
286 371 9 0
170 159 19 0
317 390 7 1
315 322 11 1
377 107 18 1
312 254 4 1
378 107 18 1
488 183 20 0
325 390 5 0
212 246 13 1
316 254 4 0
318 254 2 1
323 322 10 1
319 254 2 1
324 322 10 1
320 254 2 1
321 254 2 1
218 246 14 1
223 314 22 0
322 254 2 1
332 390 6 1
323 254 2 1
465 96 21 0
318 186 15 1
324 254 2 1
319 186 15 1
320 186 15 1
321 186 15 1
322 186 15 1
323 186 15 1
216 110 19 0
324 186 15 1
369 88 18 1
325 186 15 1
311 303 11 1
312 303 4 1
155 189 19 0
317 303 4 0
156 189 19 0
324 371 5 0
490 164 20 0
321 303 10 1
184 140 19 0
313 284 4 1
316 284 4 0
322 352 5 0
487 145 20 0
321 284 3 1
485 77 21 0
355 371 8 0
164 170 19 0
224 276 12 1
208 325 22 0
208 257 13 1
312 265 4 1
483 126 20 0
202 121 19 0
382 118 18 1
317 265 4 0
327 401 5 0
321 265 3 1
409 69 16 1
218 257 14 1
354 352 8 0
355 352 8 0
224 257 12 1
286 363 9 0
312 314 11 1
373 99 18 1
175 151 19 0
324 382 5 0
325 382 5 0
490 175 20 0
322 314 10 1
215 238 13 1
216 238 13 1
331 382 6 1
219 238 14 1
220 238 14 1
368 80 18 1
231 306 22 0
232 306 22 0
474 88 21 0
475 88 21 0
312 295 4 1
223 102 19 0
317 295 4 0
323 363 5 0
489 156 20 0
321 295 3 1
159 181 19 0
190 132 19 0
313 276 4 1
321 344 5 0
486 137 20 0
317 276 4 0
385 129 18 1
330 412 5 0
321 276 3 1
354 363 8 0
221 268 12 1
222 268 12 1
298 189 15 1
286 374 9 0
168 162 19 0
299 189 15 1
300 189 15 1
301 189 15 1
302 189 15 1
303 189 15 1
318 393 7 1
304 189 15 1
305 189 15 1
315 325 11 1
316 325 11 1
312 257 4 1
378 110 18 1
210 249 13 1
487 186 20 0
379 110 18 1
211 249 13 1
218 317 22 0
316 257 4 0
326 393 5 0
219 317 22 0
324 325 10 1
218 249 14 1
463 99 21 0
321 257 2 1
213 113 19 0
287 355 9 0
370 91 18 1
311 306 11 1
154 192 19 0
324 374 5 0
490 167 20 0
321 306 10 1
182 143 19 0
322 306 10 1
313 287 4 1
316 287 4 0
322 355 5 0
483 80 21 0
488 148 20 0
321 287 3 1
356 374 8 0
163 173 19 0
224 279 12 1
205 328 22 0
206 328 22 0
208 260 13 1
312 268 4 1
200 124 19 0
484 129 20 0
317 268 4 0
383 121 18 1
328 404 5 0
320 268 3 1
354 355 8 0
222 260 12 1
223 260 12 1
286 366 9 0
317 385 7 1
173 154 19 0
313 317 11 1
374 102 18 1
314 317 11 1
325 385 5 0
489 178 20 0
214 241 13 1
323 317 10 1
331 385 6 1
218 241 14 1
227 309 22 0
228 309 22 0
368 83 18 1
471 91 21 0
220 105 19 0
312 298 4 1
317 298 4 0
323 366 5 0
157 184 19 0
490 159 20 0
321 298 10 1
188 135 19 0
313 279 4 1
321 347 5 0
486 140 20 0
317 279 4 0
322 347 5 0
330 415 5 0
321 279 3 1
331 415 5 0
354 366 8 0
291 192 15 1
292 192 15 1
223 271 12 1
166 165 19 0
287 377 9 0
485 189 20 0
312 260 4 1
486 189 20 0
209 252 13 1
215 320 22 0
380 113 18 1
316 260 4 0
326 396 5 0
408 64 16 1
208 116 19 0
409 64 16 1
218 252 14 1
411 64 16 1
286 358 9 0
371 94 18 1
311 309 11 1
372 94 18 1
179 146 19 0
324 377 5 0
490 170 20 0
322 309 10 1
312 290 4 1
479 83 21 0
317 290 4 0
322 358 5 0
323 358 5 0
228 97 19 0
488 151 20 0
321 290 3 1
161 176 19 0
356 377 8 0
201 331 22 0
224 282 12 1
196 127 19 0
313 271 4 1
484 132 20 0
317 271 4 0
328 407 5 0
384 124 18 1
320 271 3 1
354 358 8 0
222 263 12 1
286 369 9 0
171 157 19 0
317 388 7 1
315 320 11 1
376 105 18 1
315 252 4 0
489 181 20 0
325 388 5 0
316 252 4 0
213 244 13 1
323 320 10 1
319 252 2 1
320 252 2 1
321 252 2 1
331 388 6 1
218 244 14 1
224 312 22 0
322 252 2 1
332 388 6 1
323 252 2 1
467 94 21 0
468 94 21 0
368 86 18 1
217 108 19 0
218 108 19 0
329 184 15 1
312 301 4 1
330 184 15 1
331 184 15 1
317 301 4 0
323 369 5 0
157 187 19 0
324 369 5 0
490 162 20 0
321 301 10 1
186 138 19 0
313 282 4 1
316 282 4 0
322 350 5 0
487 143 20 0
321 282 3 1
355 369 8 0
164 168 19 0
224 274 12 1
211 323 22 0
312 263 4 1
209 255 13 1
381 116 18 1
326 399 5 0
382 116 18 1
317 263 4 0
204 119 19 0
205 119 19 0
321 263 3 1
409 67 16 1
218 255 14 1
224 255 12 1
286 361 9 0
372 97 18 1
311 312 11 1
177 149 19 0
324 380 5 0
490 173 20 0
322 312 10 1
216 236 13 1
217 236 13 1
220 236 14 1
368 78 18 1
369 78 18 1
312 293 4 1
477 86 21 0
225 100 19 0
317 293 4 0
323 361 5 0
489 154 20 0
321 293 3 1
160 179 19 0
198 334 22 0
199 334 22 0
193 130 19 0
313 274 4 1
485 135 20 0
317 274 4 0
329 410 5 0
385 127 18 1
320 274 3 1
354 361 8 0
221 266 12 1
286 372 9 0
169 160 19 0
317 391 7 1
318 391 7 1
315 323 11 1
316 323 11 1
312 255 4 1
378 108 18 1
488 184 20 0
211 247 13 1
325 391 5 0
311 187 15 1
316 255 4 0
312 187 15 1
313 187 15 1
314 187 15 1
319 255 2 1
324 323 10 1
315 187 15 1
320 255 2 1
222 315 22 0
316 187 15 1
321 255 2 1
218 247 14 1
464 97 21 0
317 187 15 1
322 255 2 1
332 391 6 1
323 255 2 1
214 111 19 0
215 111 19 0
369 89 18 1
287 353 9 0
311 304 11 1
155 190 19 0
317 304 4 0
324 372 5 0
490 165 20 0
321 304 10 1
183 141 19 0
313 285 4 1
316 285 4 0
322 353 5 0
488 146 20 0
484 78 21 0
321 285 3 1
355 372 8 0
164 171 19 0
224 277 12 1
207 326 22 0
208 258 13 1
312 266 4 1
483 127 20 0
201 122 19 0
382 119 18 1
317 266 4 0
327 402 5 0
383 119 18 1
409 70 16 1
218 258 14 1
321 266 3 1
354 353 8 0
223 258 12 1
224 258 12 1
286 364 9 0
312 315 11 1
317 383 7 1
373 100 18 1
313 315 11 1
374 100 18 1
175 152 19 0
325 383 5 0
490 176 20 0
322 315 10 1
214 239 13 1
215 239 13 1
331 383 6 1
219 239 14 1
230 307 22 0
368 81 18 1
473 89 21 0
312 296 4 1
223 103 19 0
317 296 4 0
323 364 5 0
158 182 19 0
489 157 20 0
321 296 10 1
