1746 320 213
210 198 22 0
211 198 22 0
77 140 34 1
212 198 22 0
78 140 34 1
213 198 22 0
79 140 34 1
214 198 22 0
80 140 34 1
215 198 22 0
81 140 34 1
216 198 22 0
210 163 22 0
211 163 22 0
212 163 22 0
213 163 22 0
214 163 22 0
215 163 22 0
216 163 22 0
248 163 31 1
249 163 31 1
250 163 31 1
251 163 31 1
252 163 31 1
155 175 21 0
156 175 21 0
157 175 21 0
158 175 21 0
159 175 21 0
160 175 21 0
161 175 21 0
176 175 30 1
177 175 30 1
178 175 30 1
179 175 30 1
180 175 30 1
210 175 22 0
211 175 22 0
212 175 22 0
213 175 22 0
214 175 22 0
215 175 22 0
216 175 22 0
121 152 32 1
122 152 32 1
123 152 32 1
124 152 32 1
125 152 32 1
126 152 32 1
127 152 32 1
156 187 21 0
157 187 21 0
158 187 21 0
159 187 21 0
160 187 21 0
134 117 20 1
135 117 20 1
136 117 20 1
137 117 20 1
138 117 20 1
156 152 21 0
139 117 20 1
157 152 21 0
140 117 20 1
158 152 21 0
141 117 20 1
159 152 21 0
142 117 20 1
160 152 21 0
143 117 20 1
144 117 20 1
145 117 20 1
146 117 20 1
147 117 20 1
148 117 20 1
149 117 20 1
42 94 25 1
210 187 22 0
211 187 22 0
212 187 22 0
178 117 20 1
213 187 22 0
179 117 20 1
214 187 22 0
180 117 20 1
215 187 22 0
181 117 20 1
216 187 22 0
182 117 20 1
183 117 20 1
184 117 20 1
185 117 20 1
186 117 20 1
187 117 20 1
188 117 20 1
189 117 20 1
190 117 20 1
191 117 20 1
192 117 20 1
193 117 20 1
240 152 31 1
241 152 31 1
242 152 31 1
243 152 31 1
244 152 31 1
126 129 20 1
245 152 31 1
127 129 20 1
246 152 31 1
128 129 20 1
247 152 31 1
129 129 20 1
248 152 31 1
130 129 20 1
131 129 20 1
132 129 20 1
155 164 21 0
156 164 21 0
157 164 21 0
158 164 21 0
159 164 21 0
160 164 21 0
161 164 21 0
210 199 22 0
211 199 22 0
212 199 22 0
213 199 22 0
79 141 34 1
214 199 22 0
215 199 22 0
216 199 22 0
210 164 22 0
211 164 22 0
212 164 22 0
213 164 22 0
214 164 22 0
215 164 22 0
216 164 22 0
250 164 31 1
155 176 21 0
156 176 21 0
157 176 21 0
158 176 21 0
159 176 21 0
160 176 21 0
161 176 21 0
233 94 33 1
234 94 33 1
176 176 30 1
177 176 30 1
178 176 30 1
179 176 30 1
180 176 30 1
210 176 22 0
211 176 22 0
212 176 22 0
213 176 22 0
214 176 22 0
215 176 22 0
216 176 22 0
121 153 32 1
122 153 32 1
123 153 32 1
124 153 32 1
125 153 32 1
126 153 32 1
127 153 32 1
156 188 21 0
157 188 21 0
158 188 21 0
159 188 21 0
160 188 21 0
267 176 29 1
134 118 20 1
135 118 20 1
136 118 20 1
137 118 20 1
138 118 20 1
156 153 21 0
139 118 20 1
157 153 21 0
140 118 20 1
158 153 21 0
141 118 20 1
159 153 21 0
142 118 20 1
160 153 21 0
143 118 20 1
144 118 20 1
145 118 20 1
40 95 25 1
41 95 25 1
42 95 25 1
43 95 25 1
44 95 25 1
210 188 22 0
211 188 22 0
212 188 22 0
213 188 22 0
214 188 22 0
215 188 22 0
181 118 20 1
216 188 22 0
182 118 20 1
183 118 20 1
184 118 20 1
185 118 20 1
186 118 20 1
187 118 20 1
188 118 20 1
189 118 20 1
190 118 20 1
191 118 20 1
192 118 20 1
193 118 20 1
194 118 20 1
241 153 31 1
242 153 31 1
243 153 31 1
244 153 31 1
126 130 20 1
245 153 31 1
127 130 20 1
246 153 31 1
128 130 20 1
247 153 31 1
129 130 20 1
248 153 31 1
130 130 20 1
249 153 31 1
131 130 20 1
132 130 20 1
155 165 21 0
156 165 21 0
157 165 21 0
158 165 21 0
159 165 21 0
160 165 21 0
161 165 21 0
237 83 28 1
210 200 22 0
211 200 22 0
212 200 22 0
213 200 22 0
214 200 22 0
215 200 22 0
216 200 22 0
210 165 22 0
211 165 22 0
212 165 22 0
213 165 22 0
214 165 22 0
215 165 22 0
216 165 22 0
155 177 21 0
156 177 21 0
157 177 21 0
158 177 21 0
159 177 21 0
160 177 21 0
161 177 21 0
231 95 33 1
232 95 33 1
233 95 33 1
234 95 33 1
235 95 33 1
236 95 33 1
178 177 30 1
210 177 22 0
211 177 22 0
212 177 22 0
213 177 22 0
214 177 22 0
215 177 22 0
216 177 22 0
121 154 32 1
122 154 32 1
123 154 32 1
124 154 32 1
125 154 32 1
126 154 32 1
127 154 32 1
158 189 21 0
265 177 29 1
266 177 29 1
267 177 29 1
132 119 20 1
268 177 29 1
133 119 20 1
269 177 29 1
134 119 20 1
135 119 20 1
136 119 20 1
137 119 20 1
155 154 21 0
138 119 20 1
156 154 21 0
139 119 20 1
157 154 21 0
140 119 20 1
158 154 21 0
141 119 20 1
159 154 21 0
142 119 20 1
160 154 21 0
161 154 21 0
40 96 25 1
41 96 25 1
42 96 25 1
43 96 25 1
