1039 320 240
147 141 3 1
148 141 3 1
149 141 3 1
150 141 3 1
151 141 3 1
114 152 4 1
273 157 9 0
274 157 9 0
275 157 9 0
276 157 9 0
277 157 9 0
288 108 9 0
278 157 9 0
289 108 9 0
279 157 9 0
290 108 9 0
291 108 9 0
292 108 9 0
293 108 9 0
294 108 9 0
210 43 8 1
211 43 8 1
212 43 8 1
213 43 8 1
214 43 8 1
215 43 8 1
216 43 8 1
264 168 9 0
265 168 9 0
266 168 9 0
267 168 9 0
268 168 9 0
269 168 9 0
270 168 9 0
271 168 9 0
286 119 9 0
287 119 9 0
288 119 9 0
289 119 9 0
29 11 5 1
290 119 9 0
291 119 9 0
292 119 9 0
252 179 9 0
253 179 9 0
226 141 7 1
254 179 9 0
227 141 7 1
255 179 9 0
228 141 7 1
256 179 9 0
229 141 7 1
257 179 9 0
230 141 7 1
258 179 9 0
259 179 9 0
260 179 9 0
261 179 9 0
285 130 9 0
286 130 9 0
238 190 9 0
287 130 9 0
239 190 9 0
288 130 9 0
240 190 9 0
289 130 9 0
241 190 9 0
290 130 9 0
242 190 9 0
291 130 9 0
243 190 9 0
244 190 9 0
245 190 9 0
246 190 9 0
247 190 9 0
248 190 9 0
249 190 9 0
233 103 2 1
250 190 9 0
234 103 2 1
235 103 2 1
236 103 2 1
237 103 2 1
238 103 2 1
239 103 2 1
240 103 2 1
241 103 2 1
283 141 9 0
284 141 9 0
285 141 9 0
286 141 9 0
287 141 9 0
288 141 9 0
289 141 9 0
112 147 4 1
113 147 4 1
114 147 4 1
115 147 4 1
116 147 4 1
276 152 9 0
277 152 9 0
278 152 9 0
279 152 9 0
280 152 9 0
281 152 9 0
282 152 9 0
283 152 9 0
32 93 6 1
33 93 6 1
34 93 6 1
268 163 9 0
35 93 6 1
269 163 9 0
36 93 6 1
270 163 9 0
271 163 9 0
272 163 9 0
273 163 9 0
274 163 9 0
287 114 9 0
27 6 5 1
288 114 9 0
28 6 5 1
289 114 9 0
29 6 5 1
290 114 9 0
30 6 5 1
291 114 9 0
31 6 5 1
292 114 9 0
293 114 9 0
258 174 9 0
259 174 9 0
260 174 9 0
261 174 9 0
262 174 9 0
263 174 9 0
264 174 9 0
265 174 9 0
286 125 9 0
287 125 9 0
288 125 9 0
289 125 9 0
290 125 9 0
291 125 9 0
292 125 9 0
247 185 9 0
248 185 9 0
249 185 9 0
250 185 9 0
251 185 9 0
252 185 9 0
253 185 9 0
254 185 9 0
238 98 2 1
239 98 2 1
240 98 2 1
241 98 2 1
242 98 2 1
243 98 2 1
244 98 2 1
245 98 2 1
246 98 2 1
247 98 2 1
248 98 2 1
249 98 2 1
284 136 9 0
236 196 9 0
285 136 9 0
237 196 9 0
286 136 9 0
238 196 9 0
287 136 9 0
239 196 9 0
288 136 9 0
240 196 9 0
289 136 9 0
241 196 9 0
290 136 9 0
279 147 9 0
280 147 9 0
281 147 9 0
282 147 9 0
283 147 9 0
284 147 9 0
285 147 9 0
286 147 9 0
146 142 3 1
147 142 3 1
148 142 3 1
149 142 3 1
150 142 3 1
151 142 3 1
152 142 3 1
271 158 9 0
272 158 9 0
273 158 9 0
274 158 9 0
275 158 9 0
276 158 9 0
277 158 9 0
288 109 9 0
278 158 9 0
289 109 9 0
279 158 9 0
290 109 9 0
291 109 9 0
292 109 9 0
293 109 9 0
294 109 9 0
211 44 8 1
212 44 8 1
213 44 8 1
214 44 8 1
215 44 8 1
262 169 9 0
263 169 9 0
264 169 9 0
265 169 9 0
266 169 9 0
267 169 9 0
268 169 9 0
269 169 9 0
270 169 9 0
286 120 9 0
287 120 9 0
288 120 9 0
289 120 9 0
290 120 9 0
291 120 9 0
292 120 9 0
251 180 9 0
252 180 9 0
253 180 9 0
226 142 7 1
254 180 9 0
227 142 7 1
255 180 9 0
228 142 7 1
256 180 9 0
229 142 7 1
257 180 9 0
230 142 7 1
258 180 9 0
259 180 9 0
260 180 9 0
236 191 9 0
285 131 9 0
237 191 9 0
286 131 9 0
238 191 9 0
287 131 9 0
239 191 9 0
288 131 9 0
240 191 9 0
289 131 9 0
241 191 9 0
290 131 9 0
242 191 9 0
291 131 9 0
243 191 9 0
244 191 9 0
245 191 9 0
246 191 9 0
247 191 9 0
248 191 9 0
232 104 2 1
233 104 2 1
234 104 2 1
235 104 2 1
236 104 2 1
237 104 2 1
238 104 2 1
239 104 2 1
240 104 2 1
282 142 9 0
283 142 9 0
284 142 9 0
285 142 9 0
286 142 9 0
287 142 9 0
288 142 9 0
289 142 9 0
112 148 4 1
113 148 4 1
114 148 4 1
115 148 4 1
116 148 4 1
275 153 9 0
276 153 9 0
277 153 9 0
278 153 9 0
279 153 9 0
280 153 9 0
291 104 9 0
281 153 9 0
282 153 9 0
283 153 9 0
32 94 6 1
33 94 6 1
34 94 6 1
267 164 9 0
35 94 6 1
268 164 9 0
36 94 6 1
269 164 9 0
270 164 9 0
271 164 9 0
272 164 9 0
273 164 9 0
274 164 9 0
27 7 5 1
287 115 9 0
28 7 5 1
288 115 9 0
29 7 5 1
289 115 9 0
30 7 5 1
290 115 9 0
31 7 5 1
291 115 9 0
292 115 9 0
293 115 9 0
257 175 9 0
258 175 9 0
259 175 9 0
260 175 9 0
261 175 9 0
262 175 9 0
263 175 9 0
264 175 9 0
265 175 9 0
285 126 9 0
286 126 9 0
287 126 9 0
288 126 9 0
289 126 9 0
290 126 9 0
291 126 9 0
245 186 9 0
246 186 9 0
247 186 9 0
248 186 9 0
249 186 9 0
250 186 9 0
251 186 9 0
252 186 9 0
253 186 9 0
237 99 2 1
254 186 9 0
238 99 2 1
239 99 2 1
240 99 2 1
241 99 2 1
242 99 2 1
243 99 2 1
244 99 2 1
245 99 2 1
246 99 2 1
247 99 2 1
248 99 2 1
283 137 9 0
284 137 9 0
285 137 9 0
286 137 9 0
238 197 9 0
287 137 9 0
288 137 9 0
289 137 9 0
279 148 9 0
280 148 9 0
281 148 9 0
282 148 9 0
283 148 9 0
284 148 9 0
285 148 9 0
147 143 3 1
148 143 3 1
149 143 3 1
150 143 3 1
151 143 3 1
34 89 6 1
270 159 9 0
271 159 9 0
272 159 9 0
273 159 9 0
274 159 9 0
275 159 9 0
276 159 9 0
277 159 9 0
288 110 9 0
278 159 9 0
289 110 9 0
290 110 9 0
291 110 9 0
292 110 9 0
293 110 9 0
294 110 9 0
211 45 8 1
212 45 8 1
213 45 8 1
214 45 8 1
215 45 8 1
261 170 9 0
262 170 9 0
263 170 9 0
264 170 9 0
265 170 9 0
266 170 9 0
267 170 9 0
268 170 9 0
269 170 9 0
270 170 9 0
286 121 9 0
287 121 9 0
288 121 9 0
289 121 9 0
290 121 9 0
291 121 9 0
292 121 9 0
250 181 9 0
251 181 9 0
252 181 9 0
225 143 7 1
253 181 9 0
226 143 7 1
254 181 9 0
227 143 7 1
255 181 9 0
228 143 7 1
256 181 9 0
229 143 7 1
257 181 9 0
230 143 7 1
258 181 9 0
231 143 7 1
259 181 9 0
236 192 9 0
285 132 9 0
237 192 9 0
286 132 9 0
238 192 9 0
287 132 9 0
239 192 9 0
288 132 9 0
240 192 9 0
289 132 9 0
241 192 9 0
290 132 9 0
242 192 9 0
291 132 9 0
243 192 9 0
244 192 9 0
245 192 9 0
246 192 9 0
247 192 9 0
232 105 2 1
233 105 2 1
234 105 2 1
235 105 2 1
236 105 2 1
237 105 2 1
238 105 2 1
239 105 2 1
282 143 9 0
283 143 9 0
284 143 9 0
285 143 9 0
286 143 9 0
287 143 9 0
288 143 9 0
111 149 4 1
112 149 4 1
113 149 4 1
114 149 4 1
115 149 4 1
116 149 4 1
117 149 4 1
275 154 9 0
276 154 9 0
277 154 9 0
278 154 9 0
289 105 9 0
279 154 9 0
290 105 9 0
280 154 9 0
291 105 9 0
281 154 9 0
292 105 9 0
282 154 9 0
293 105 9 0
213 40 8 1
266 165 9 0
34 95 6 1
267 165 9 0
268 165 9 0
269 165 9 0
270 165 9 0
271 165 9 0
272 165 9 0
273 165 9 0
26 8 5 1
287 116 9 0
27 8 5 1
288 116 9 0
28 8 5 1
289 116 9 0
29 8 5 1
290 116 9 0
30 8 5 1
291 116 9 0
31 8 5 1
292 116 9 0
32 8 5 1
293 116 9 0
256 176 9 0
257 176 9 0
258 176 9 0
259 176 9 0
260 176 9 0
261 176 9 0
262 176 9 0
263 176 9 0
264 176 9 0
285 127 9 0
286 127 9 0
287 127 9 0
288 127 9 0
289 127 9 0
290 127 9 0
291 127 9 0
244 187 9 0
245 187 9 0
246 187 9 0
247 187 9 0
248 187 9 0
249 187 9 0
250 187 9 0
251 187 9 0
252 187 9 0
236 100 2 1
253 187 9 0
237 100 2 1
238 100 2 1
239 100 2 1
240 100 2 1
241 100 2 1
242 100 2 1
243 100 2 1
244 100 2 1
245 100 2 1
246 100 2 1
247 100 2 1
248 100 2 1
283 138 9 0
284 138 9 0
285 138 9 0
