1362 481 321
111 217 15 1
106 141 14 0
107 141 14 0
108 141 14 0
109 141 14 0
110 141 14 0
184 206 10 1
111 141 14 0
185 206 10 1
112 141 14 0
186 206 10 1
113 141 14 0
187 206 10 1
114 141 14 0
188 206 10 1
115 141 14 0
189 206 10 1
116 141 14 0
190 206 10 1
117 141 14 0
191 206 10 1
118 141 14 0
192 206 10 1
119 141 14 0
120 141 14 0
121 141 14 0
122 141 14 0
123 141 14 0
124 141 14 0
125 141 14 0
126 141 14 0
127 141 14 0
128 141 14 0
129 141 14 0
130 141 14 0
131 141 14 0
132 141 14 0
133 141 14 0
134 141 14 0
135 141 14 0
100 275 8 1
122 246 9 1
101 275 8 1
123 246 9 1
102 275 8 1
124 246 9 1
103 275 8 1
125 246 9 1
104 275 8 1
235 177 6 1
126 246 9 1
236 177 6 1
127 246 9 1
237 177 6 1
128 246 9 1
238 177 6 1
239 177 6 1
240 177 6 1
241 177 6 1
68 286 13 0
69 286 13 0
211 264 7 1
212 264 7 1
213 264 7 1
214 264 7 1
215 264 7 1
121 228 9 1
122 228 9 1
149 275 12 0
123 228 9 1
150 275 12 0
98 181 11 1
124 228 9 1
151 275 12 0
99 181 11 1
125 228 9 1
152 275 12 0
100 181 11 1
126 228 9 1
153 275 12 0
101 181 11 1
127 228 9 1
154 275 12 0
102 181 11 1
155 275 12 0
103 181 11 1
104 181 11 1
105 181 11 1
106 181 11 1
107 181 11 1
108 181 11 1
109 181 11 1
110 181 11 1
111 181 11 1
112 181 11 1
113 181 11 1
114 181 11 1
115 181 11 1
116 181 11 1
90 134 14 0
117 181 11 1
91 134 14 0
118 181 11 1
92 134 14 0
93 134 14 0
94 134 14 0
147 228 2 1
95 134 14 0
169 199 10 1
96 134 14 0
170 199 10 1
97 134 14 0
171 199 10 1
98 134 14 0
172 199 10 1
99 134 14 0
173 199 10 1
100 134 14 0
174 199 10 1
101 134 14 0
175 199 10 1
102 134 14 0
176 199 10 1
103 134 14 0
177 199 10 1
104 134 14 0
178 199 10 1
105 134 14 0
179 199 10 1
180 199 10 1
181 199 10 1
182 199 10 1
183 199 10 1
72 297 13 0
73 297 13 0
74 297 13 0
75 297 13 0
76 297 13 0
77 297 13 0
78 297 13 0
79 297 13 0
122 239 9 1
80 297 13 0
123 239 9 1
81 297 13 0
149 286 12 0
124 239 9 1
125 239 9 1
126 239 9 1
127 239 9 1
128 239 9 1
152 210 4 1
153 210 4 1
154 210 4 1
155 210 4 1
156 210 4 1
157 210 4 1
158 210 4 1
70 174 4 1
71 174 4 1
72 174 4 1
73 174 4 1
74 174 4 1
75 174 4 1
76 174 4 1
109 221 15 1
110 221 15 1
111 221 15 1
112 221 15 1
113 221 15 1
120 221 9 1
121 221 9 1
122 221 9 1
123 221 9 1
124 221 9 1
125 221 9 1
126 221 9 1
153 268 12 0
154 268 12 0
155 268 12 0
156 268 12 0
157 268 12 0
158 268 12 0
123 250 9 1
124 250 9 1
125 250 9 1
126 250 9 1
127 250 9 1
155 145 5 1
156 145 5 1
157 145 5 1
158 145 5 1
159 145 5 1
149 174 3 1
150 174 3 1
66 290 13 0
151 174 3 1
67 290 13 0
152 174 3 1
68 290 13 0
153 174 3 1
69 290 13 0
70 290 13 0
71 290 13 0
72 290 13 0
73 290 13 0
74 290 13 0
213 268 7 1
121 232 9 1
147 279 12 0
122 232 9 1
148 279 12 0
123 232 9 1
149 279 12 0
124 232 9 1
150 279 12 0
125 232 9 1
151 279 12 0
126 232 9 1
152 279 12 0
100 185 11 1
127 232 9 1
153 279 12 0
101 185 11 1
102 185 11 1
103 185 11 1
104 185 11 1
105 185 11 1
90 138 14 0
91 138 14 0
92 138 14 0
93 138 14 0
94 138 14 0
95 138 14 0
96 138 14 0
97 138 14 0
98 138 14 0
99 138 14 0
100 138 14 0
101 138 14 0
175 203 10 1
102 138 14 0
176 203 10 1
103 138 14 0
177 203 10 1
104 138 14 0
178 203 10 1
105 138 14 0
179 203 10 1
106 138 14 0
180 203 10 1
107 138 14 0
181 203 10 1
108 138 14 0
182 203 10 1
109 138 14 0
183 203 10 1
110 138 14 0
184 203 10 1
111 138 14 0
185 203 10 1
112 138 14 0
186 203 10 1
113 138 14 0
187 203 10 1
114 138 14 0
188 203 10 1
115 138 14 0
189 203 10 1
116 138 14 0
190 203 10 1
117 138 14 0
191 203 10 1
118 138 14 0
192 203 10 1
119 138 14 0
120 138 14 0
121 138 14 0
122 138 14 0
123 138 14 0
124 138 14 0
125 138 14 0
126 138 14 0
127 138 14 0
128 138 14 0
129 138 14 0
130 138 14 0
131 138 14 0
132 138 14 0
133 138 14 0
134 138 14 0
76 301 13 0
135 138 14 0
77 301 13 0
136 138 14 0
78 301 13 0
100 272 8 1
79 301 13 0
122 243 9 1
101 272 8 1
80 301 13 0
123 243 9 1
102 272 8 1
81 301 13 0
124 243 9 1
103 272 8 1
125 243 9 1
104 272 8 1
126 243 9 1
127 243 9 1
238 174 6 1
128 243 9 1
120 225 9 1
121 225 9 1
122 225 9 1
123 225 9 1
124 225 9 1
150 272 12 0
125 225 9 1
151 272 12 0
126 225 9 1
152 272 12 0
153 272 12 0
154 272 12 0
155 272 12 0
156 272 12 0
157 272 12 0
105 178 11 1
158 272 12 0
106 178 11 1
107 178 11 1
108 178 11 1
109 178 11 1
110 178 11 1
111 178 11 1
112 178 11 1
113 178 11 1
114 178 11 1
115 178 11 1
144 225 2 1
145 225 2 1
146 225 2 1
147 225 2 1
148 225 2 1
149 225 2 1
170 196 10 1
150 225 2 1
171 196 10 1
172 196 10 1
173 196 10 1
174 196 10 1
157 149 5 1
151 178 3 1
70 294 13 0
71 294 13 0
72 294 13 0
73 294 13 0
74 294 13 0
75 294 13 0
76 294 13 0
77 294 13 0
78 294 13 0
146 283 12 0
147 283 12 0
121 236 9 1
148 283 12 0
122 236 9 1
149 283 12 0
123 236 9 1
150 283 12 0
124 236 9 1
151 283 12 0
125 236 9 1
152 283 12 0
126 236 9 1
127 236 9 1
155 207 4 1
73 171 4 1
109 218 15 1
110 218 15 1
111 218 15 1
112 218 15 1
113 218 15 1
190 207 10 1
123 218 9 1
120 142 14 0
121 142 14 0
122 142 14 0
123 142 14 0
124 142 14 0
125 142 14 0
126 142 14 0
127 142 14 0
128 142 14 0
129 142 14 0
130 142 14 0
131 142 14 0
132 142 14 0
133 142 14 0
100 276 8 1
122 247 9 1
101 276 8 1
123 247 9 1
102 276 8 1
124 247 9 1
103 276 8 1
125 247 9 1
104 276 8 1
126 247 9 1
236 178 6 1
127 247 9 1
237 178 6 1
128 247 9 1
238 178 6 1
239 178 6 1
240 178 6 1
66 287 13 0
67 287 13 0
68 287 13 0
69 287 13 0
70 287 13 0
71 287 13 0
210 265 7 1
211 265 7 1
212 265 7 1
213 265 7 1
214 265 7 1
121 229 9 1
215 265 7 1
122 229 9 1
148 276 12 0
216 265 7 1
123 229 9 1
149 276 12 0
97 182 11 1
124 229 9 1
150 276 12 0
98 182 11 1
125 229 9 1
151 276 12 0
99 182 11 1
126 229 9 1
152 276 12 0
100 182 11 1
127 229 9 1
153 276 12 0
101 182 11 1
154 276 12 0
102 182 11 1
155 276 12 0
103 182 11 1
104 182 11 1
105 182 11 1
106 182 11 1
107 182 11 1
108 182 11 1
109 182 11 1
110 182 11 1
111 182 11 1
112 182 11 1
113 182 11 1
114 182 11 1
115 182 11 1
116 182 11 1
90 135 14 0
117 182 11 1
91 135 14 0
92 135 14 0
93 135 14 0
94 135 14 0
95 135 14 0
96 135 14 0
170 200 10 1
97 135 14 0
171 200 10 1
98 135 14 0
172 200 10 1
99 135 14 0
173 200 10 1
100 135 14 0
174 200 10 1
101 135 14 0
175 200 10 1
102 135 14 0
176 200 10 1
103 135 14 0
177 200 10 1
104 135 14 0
178 200 10 1
105 135 14 0
179 200 10 1
106 135 14 0
180 200 10 1
107 135 14 0
181 200 10 1
108 135 14 0
182 200 10 1
109 135 14 0
183 200 10 1
110 135 14 0
184 200 10 1
111 135 14 0
185 200 10 1
112 135 14 0
186 200 10 1
113 135 14 0
187 200 10 1
114 135 14 0
188 200 10 1
115 135 14 0
189 200 10 1
116 135 14 0
117 135 14 0
118 135 14 0
119 135 14 0
73 298 13 0
74 298 13 0
75 298 13 0
133 135 14 0
76 298 13 0
77 298 13 0
78 298 13 0
79 298 13 0
122 240 9 1
80 298 13 0
123 240 9 1
81 298 13 0
124 240 9 1
125 240 9 1
126 240 9 1
127 240 9 1
128 240 9 1
153 211 4 1
154 211 4 1
155 211 4 1
156 211 4 1
157 211 4 1
71 175 4 1
72 175 4 1
73 175 4 1
74 175 4 1
75 175 4 1
109 222 15 1
110 222 15 1
111 222 15 1
112 222 15 1
113 222 15 1
120 222 9 1
121 222 9 1
122 222 9 1
123 222 9 1
124 222 9 1
125 222 9 1
126 222 9 1
153 269 12 0
154 269 12 0
155 269 12 0
156 269 12 0
157 269 12 0
158 269 12 0
123 251 9 1
124 251 9 1
125 251 9 1
147 222 2 1
126 251 9 1
127 251 9 1
154 146 5 1
155 146 5 1
156 146 5 1
157 146 5 1
158 146 5 1
159 146 5 1
160 146 5 1
148 175 3 1
149 175 3 1
150 175 3 1
66 291 13 0
151 175 3 1
67 291 13 0
152 175 3 1
68 291 13 0
153 175 3 1
69 291 13 0
154 175 3 1
70 291 13 0
71 291 13 0
72 291 13 0
73 291 13 0
74 291 13 0
75 291 13 0
146 280 12 0
147 280 12 0
121 233 9 1
148 280 12 0
122 233 9 1
149 280 12 0
123 233 9 1
150 280 12 0
124 233 9 1
151 280 12 0
125 233 9 1
152 280 12 0
126 233 9 1
153 280 12 0
127 233 9 1
92 139 14 0
93 139 14 0
94 139 14 0
95 139 14 0
96 139 14 0
97 139 14 0
98 139 14 0
99 139 14 0
100 139 14 0
101 139 14 0
102 139 14 0
103 139 14 0
177 204 10 1
104 139 14 0
178 204 10 1
105 139 14 0
179 204 10 1
106 139 14 0
180 204 10 1
107 139 14 0
181 204 10 1
108 139 14 0
182 204 10 1
109 139 14 0
183 204 10 1
110 139 14 0
184 204 10 1
111 139 14 0
185 204 10 1
112 139 14 0
186 204 10 1
113 139 14 0
187 204 10 1
114 139 14 0
188 204 10 1
115 139 14 0
189 204 10 1
116 139 14 0
190 204 10 1
117 139 14 0
191 204 10 1
118 139 14 0
192 204 10 1
119 139 14 0
193 204 10 1
120 139 14 0
121 139 14 0
122 139 14 0
123 139 14 0
124 139 14 0
125 139 14 0
126 139 14 0
127 139 14 0
128 139 14 0
129 139 14 0
130 139 14 0
131 139 14 0
132 139 14 0
133 139 14 0
134 139 14 0
135 139 14 0
78 302 13 0
136 139 14 0
100 273 8 1
79 302 13 0
122 244 9 1
101 273 8 1
123 244 9 1
102 273 8 1
124 244 9 1
103 273 8 1
125 244 9 1
104 273 8 1
126 244 9 1
236 175 6 1
127 244 9 1
237 175 6 1
128 244 9 1
238 175 6 1
239 175 6 1
240 175 6 1
213 262 7 1
120 226 9 1
121 226 9 1
122 226 9 1
123 226 9 1
150 273 12 0
124 226 9 1
151 273 12 0
125 226 9 1
152 273 12 0
100 179 11 1
126 226 9 1
153 273 12 0
101 179 11 1
154 273 12 0
102 179 11 1
155 273 12 0
103 179 11 1
156 273 12 0
104 179 11 1
157 273 12 0
105 179 11 1
106 179 11 1
107 179 11 1
108 179 11 1
109 179 11 1
110 179 11 1
111 179 11 1
112 179 11 1
113 179 11 1
114 179 11 1
115 179 11 1
116 179 11 1
117 179 11 1
145 226 2 1
146 226 2 1
147 226 2 1
148 226 2 1
149 226 2 1
170 197 10 1
171 197 10 1
172 197 10 1
173 197 10 1
174 197 10 1
175 197 10 1
176 197 10 1
71 295 13 0
72 295 13 0
73 295 13 0
74 295 13 0
75 295 13 0
76 295 13 0
77 295 13 0
78 295 13 0
79 295 13 0
147 284 12 0
122 237 9 1
148 284 12 0
123 237 9 1
149 284 12 0
124 237 9 1
150 284 12 0
125 237 9 1
151 284 12 0
126 237 9 1
127 237 9 1
128 237 9 1
153 208 4 1
154 208 4 1
155 208 4 1
156 208 4 1
157 208 4 1
71 172 4 1
72 172 4 1
73 172 4 1
74 172 4 1
75 172 4 1
109 219 15 1
110 219 15 1
111 219 15 1
112 219 15 1
113 219 15 1
121 219 9 1
122 219 9 1
123 219 9 1
124 219 9 1
125 219 9 1
122 248 9 1
123 248 9 1
102 277 8 1
124 248 9 1
125 248 9 1
236 179 6 1
126 248 9 1
237 179 6 1
127 248 9 1
238 179 6 1
128 248 9 1
239 179 6 1
240 179 6 1
157 143 5 1
66 288 13 0
151 172 3 1
67 288 13 0
68 288 13 0
69 288 13 0
70 288 13 0
71 288 13 0
72 288 13 0
211 266 7 1
212 266 7 1
213 266 7 1
214 266 7 1
215 266 7 1
121 230 9 1
122 230 9 1
148 277 12 0
123 230 9 1
149 277 12 0
124 230 9 1
150 277 12 0
98 183 11 1
125 230 9 1
151 277 12 0
99 183 11 1
126 230 9 1
152 277 12 0
100 183 11 1
127 230 9 1
153 277 12 0
101 183 11 1
154 277 12 0
102 183 11 1
103 183 11 1
104 183 11 1
105 183 11 1
106 183 11 1
107 183 11 1
108 183 11 1
109 183 11 1
110 183 11 1
111 183 11 1
112 183 11 1
113 183 11 1
114 183 11 1
89 136 14 0
115 183 11 1
90 136 14 0
116 183 11 1
91 136 14 0
117 183 11 1
92 136 14 0
93 136 14 0
94 136 14 0
95 136 14 0
96 136 14 0
170 201 10 1
97 136 14 0
171 201 10 1
98 136 14 0
172 201 10 1
99 136 14 0
173 201 10 1
100 136 14 0
174 201 10 1
101 136 14 0
175 201 10 1
102 136 14 0
176 201 10 1
103 136 14 0
177 201 10 1
104 136 14 0
178 201 10 1
105 136 14 0
179 201 10 1
106 136 14 0
180 201 10 1
107 136 14 0
181 201 10 1
108 136 14 0
182 201 10 1
109 136 14 0
183 201 10 1
110 136 14 0
184 201 10 1
111 136 14 0
185 201 10 1
112 136 14 0
186 201 10 1
113 136 14 0
187 201 10 1
114 136 14 0
188 201 10 1
115 136 14 0
189 201 10 1
116 136 14 0
190 201 10 1
117 136 14 0
191 201 10 1
118 136 14 0
119 136 14 0
