3548 480 320
203 132 23 1
152 62 21 0
204 132 23 1
306 272 19 0
205 132 23 1
307 272 19 0
206 132 23 1
308 272 19 0
207 132 23 1
309 272 19 0
208 132 23 1
310 272 19 0
209 132 23 1
311 272 19 0
210 132 23 1
312 272 19 0
211 132 23 1
212 132 23 1
213 132 23 1
214 132 23 1
39 257 6 1
215 132 23 1
40 257 6 1
216 132 23 1
41 257 6 1
217 132 23 1
218 280 20 0
42 257 6 1
143 249 22 0
218 132 23 1
219 280 20 0
43 257 6 1
144 249 22 0
219 132 23 1
220 280 20 0
145 249 22 0
220 132 23 1
221 280 20 0
146 249 22 0
221 132 23 1
222 280 20 0
147 249 22 0
222 132 23 1
223 280 20 0
148 249 22 0
223 132 23 1
224 280 20 0
149 249 22 0
224 132 23 1
225 132 23 1
309 311 19 0
310 311 19 0
311 311 19 0
312 311 19 0
313 311 19 0
136 288 22 0
137 288 22 0
138 288 22 0
139 288 22 0
140 288 22 0
141 288 22 0
142 288 22 0
416 194 18 0
417 194 18 0
418 194 18 0
419 194 18 0
420 194 18 0
421 194 18 0
422 194 18 0
396 85 9 1
271 280 16 1
397 85 9 1
272 280 16 1
398 85 9 1
273 280 16 1
399 85 9 1
274 280 16 1
400 85 9 1
275 280 16 1
349 15 4 1
276 280 16 1
277 280 16 1
356 15 4 1
142 70 21 0
143 70 21 0
221 249 20 0
144 70 21 0
222 249 20 0
145 70 21 0
223 249 20 0
146 70 21 0
224 249 20 0
147 70 21 0
225 249 20 0
148 70 21 0
226 249 20 0
227 249 20 0
306 280 19 0
307 280 19 0
308 280 19 0
309 280 19 0
310 280 19 0
311 280 19 0
312 280 19 0
218 288 20 0
143 257 22 0
219 288 20 0
144 257 22 0
220 288 20 0
145 257 22 0
221 288 20 0
146 257 22 0
222 288 20 0
147 257 22 0
223 288 20 0
148 257 22 0
224 288 20 0
149 257 22 0
178 218 14 1
179 218 14 1
180 218 14 1
181 218 14 1
182 218 14 1
416 163 18 0
417 163 18 0
418 163 18 0
419 163 18 0
420 163 18 0
421 163 18 0
422 163 18 0
417 202 18 0
418 202 18 0
419 202 18 0
420 202 18 0
421 202 18 0
422 202 18 0
423 202 18 0
347 23 10 1
348 23 10 1
349 23 10 1
350 23 10 1
351 23 10 1
306 249 19 0
307 249 19 0
308 249 19 0
309 249 19 0
310 249 19 0
311 249 19 0
312 249 19 0
161 39 21 0
63 195 2 0
64 195 2 0
65 195 2 0
66 195 2 0
67 195 2 0
68 195 2 0
220 257 20 0
69 195 2 0
221 257 20 0
222 257 20 0
223 257 20 0
224 257 20 0
148 226 22 0
225 257 20 0
149 226 22 0
226 257 20 0
150 226 22 0
151 226 22 0
152 226 22 0
153 226 22 0
306 288 19 0
307 288 19 0
308 288 19 0
309 288 19 0
310 288 19 0
311 288 19 0
312 288 19 0
215 296 20 0
216 296 20 0
367 210 17 1
217 296 20 0
141 265 22 0
368 210 17 1
218 296 20 0
142 265 22 0
369 210 17 1
219 296 20 0
143 265 22 0
370 210 17 1
220 296 20 0
144 265 22 0
371 210 17 1
221 296 20 0
145 265 22 0
222 296 20 0
146 265 22 0
147 265 22 0
415 171 18 0
416 171 18 0
417 171 18 0
418 171 18 0
419 171 18 0
420 171 18 0
421 171 18 0
417 210 18 0
418 210 18 0
419 210 18 0
420 210 18 0
421 210 18 0
422 210 18 0
423 210 18 0
306 257 19 0
307 257 19 0
155 47 21 0
308 257 19 0
156 47 21 0
309 257 19 0
157 47 21 0
310 257 19 0
158 47 21 0
311 257 19 0
159 47 21 0
312 257 19 0
160 47 21 0
161 47 21 0
162 47 21 0
219 265 20 0
220 265 20 0
145 234 22 0
221 265 20 0
146 234 22 0
222 265 20 0
147 234 22 0
223 265 20 0
148 234 22 0
224 265 20 0
149 234 22 0
225 265 20 0
150 234 22 0
151 234 22 0
307 296 19 0
308 296 19 0
309 296 19 0
310 296 19 0
311 296 19 0
312 296 19 0
313 296 19 0
214 304 20 0
215 304 20 0
139 273 22 0
216 304 20 0
140 273 22 0
217 304 20 0
141 273 22 0
218 304 20 0
142 273 22 0
219 304 20 0
143 273 22 0
220 304 20 0
244 117 23 1
144 273 22 0
245 117 23 1
145 273 22 0
246 117 23 1
247 117 23 1
248 117 23 1
249 117 23 1
250 117 23 1
251 117 23 1
252 117 23 1
253 117 23 1
254 117 23 1
255 117 23 1
256 117 23 1
257 117 23 1
258 117 23 1
259 117 23 1
260 117 23 1
415 179 18 0
416 179 18 0
417 179 18 0
418 179 18 0
419 179 18 0
244 304 12 1
420 179 18 0
245 304 12 1
421 179 18 0
246 304 12 1
347 296 15 1
247 304 12 1
348 296 15 1
248 304 12 1
349 296 15 1
350 296 15 1
351 296 15 1
264 304 11 1
265 304 11 1
266 304 11 1
417 218 18 0
267 304 11 1
418 218 18 0
268 304 11 1
419 218 18 0
420 218 18 0
421 218 18 0
422 218 18 0
423 218 18 0
149 55 21 0
150 55 21 0
151 55 21 0
152 55 21 0
153 55 21 0
306 265 19 0
154 55 21 0
307 265 19 0
155 55 21 0
308 265 19 0
156 55 21 0
309 265 19 0
310 265 19 0
311 265 19 0
312 265 19 0
218 273 20 0
219 273 20 0
220 273 20 0
145 242 22 0
221 273 20 0
146 242 22 0
222 273 20 0
147 242 22 0
223 273 20 0
148 242 22 0
224 273 20 0
149 242 22 0
150 242 22 0
151 242 22 0
226 125 23 1
227 125 23 1
228 125 23 1
229 125 23 1
230 125 23 1
308 304 19 0
231 125 23 1
309 304 19 0
232 125 23 1
310 304 19 0
233 125 23 1
311 304 19 0
234 125 23 1
312 304 19 0
235 125 23 1
313 304 19 0
236 125 23 1
314 304 19 0
237 125 23 1
137 133 23 1
238 125 23 1
138 281 22 0
138 133 23 1
239 125 23 1
139 281 22 0
139 133 23 1
240 125 23 1
140 281 22 0
140 133 23 1
241 125 23 1
141 281 22 0
141 133 23 1
142 281 22 0
142 133 23 1
143 281 22 0
143 133 23 1
144 281 22 0
144 133 23 1
145 133 23 1
146 133 23 1
147 133 23 1
148 133 23 1
149 133 23 1
150 133 23 1
151 133 23 1
152 133 23 1
153 133 23 1
53 289 7 1
154 133 23 1
54 289 7 1
155 133 23 1
55 289 7 1
156 133 23 1
56 289 7 1
157 133 23 1
57 289 7 1
158 133 23 1
159 133 23 1
160 133 23 1
161 133 23 1
415 187 18 0
162 133 23 1
416 187 18 0
163 133 23 1
417 187 18 0
164 133 23 1
418 187 18 0
165 133 23 1
419 187 18 0
166 133 23 1
420 187 18 0
167 133 23 1
421 187 18 0
168 133 23 1
169 133 23 1
396 78 9 1
170 133 23 1
397 78 9 1
171 133 23 1
398 78 9 1
172 133 23 1
399 78 9 1
173 133 23 1
400 78 9 1
174 133 23 1
401 78 9 1
175 133 23 1
402 78 9 1
176 133 23 1
177 133 23 1
178 133 23 1
179 133 23 1
180 133 23 1
181 133 23 1
182 133 23 1
183 133 23 1
184 133 23 1
185 133 23 1
186 281 13 1
186 133 23 1
187 281 13 1
187 133 23 1
188 281 13 1
188 133 23 1
88 289 8 1
189 281 13 1
189 133 23 1
190 281 13 1
190 133 23 1
418 226 18 0
191 133 23 1
419 226 18 0
192 133 23 1
420 226 18 0
193 133 23 1
421 226 18 0
194 133 23 1
422 226 18 0
195 133 23 1
196 133 23 1
145 63 21 0
223 242 20 0
197 133 23 1
146 63 21 0
224 242 20 0
198 133 23 1
147 63 21 0
225 242 20 0
199 133 23 1
148 63 21 0
226 242 20 0
200 133 23 1
149 63 21 0
227 242 20 0
201 133 23 1
150 63 21 0
228 242 20 0
202 133 23 1
151 63 21 0
203 133 23 1
204 133 23 1
306 273 19 0
205 133 23 1
307 273 19 0
