1850 512 512
402 138 6 0
403 138 6 0
404 138 6 0
189 80 2 0
405 138 6 0
190 80 2 0
406 138 6 0
373 233 5 0
191 80 2 0
407 138 6 0
374 233 5 0
192 80 2 0
408 138 6 0
375 233 5 0
193 80 2 0
409 138 6 0
376 233 5 0
377 233 5 0
378 233 5 0
379 233 5 0
157 102 4 1
158 102 4 1
159 102 4 1
160 102 4 1
161 102 4 1
162 102 4 1
163 102 4 1
164 102 4 1
165 102 4 1
166 102 4 1
167 102 4 1
168 102 4 1
169 102 4 1
170 102 4 1
124 124 4 1
171 102 4 1
125 124 4 1
172 102 4 1
126 124 4 1
173 102 4 1
127 124 4 1
174 102 4 1
128 124 4 1
175 102 4 1
129 124 4 1
176 102 4 1
130 124 4 1
177 102 4 1
131 124 4 1
178 102 4 1
132 124 4 1
179 102 4 1
133 124 4 1
180 102 4 1
134 124 4 1
181 102 4 1
135 124 4 1
182 102 4 1
183 102 4 1
184 102 4 1
185 102 4 1
186 102 4 1
187 102 4 1
188 102 4 1
189 102 4 1
420 160 6 0
421 160 6 0
422 160 6 0
423 160 6 0
424 160 6 0
114 146 4 1
425 160 6 0
115 146 4 1
426 160 6 0
116 146 4 1
427 160 6 0
117 146 4 1
428 160 6 0
118 146 4 1
119 146 4 1
120 146 4 1
72 263 7 0
73 263 7 0
74 263 7 0
75 263 7 0
76 263 7 0
77 263 7 0
78 263 7 0
116 168 4 1
117 168 4 1
118 168 4 1
119 168 4 1
120 168 4 1
121 168 4 1
122 168 4 1
123 168 4 1
396 131 6 0
397 131 6 0
398 131 6 0
399 131 6 0
400 131 6 0
401 131 6 0
402 131 6 0
74 285 7 0
403 131 6 0
75 285 7 0
404 131 6 0
76 285 7 0
77 285 7 0
78 285 7 0
79 285 7 0
80 285 7 0
376 226 5 0
81 285 7 0
377 226 5 0
82 285 7 0
378 226 5 0
379 226 5 0
380 226 5 0
381 226 5 0
382 226 5 0
136 117 4 1
137 117 4 1
367 248 5 0
138 117 4 1
368 248 5 0
139 117 4 1
369 248 5 0
140 117 4 1
370 248 5 0
141 117 4 1
371 248 5 0
142 117 4 1
143 117 4 1
190 95 4 1
144 117 4 1
191 95 4 1
145 117 4 1
192 95 4 1
146 117 4 1
193 95 4 1
147 117 4 1
194 95 4 1
148 117 4 1
195 95 4 1
149 117 4 1
196 95 4 1
150 117 4 1
413 153 6 0
