3891 765 1024
435 589 6 1
468 530 6 1
436 589 6 1
437 589 6 1
438 589 6 1
439 589 6 1
163 216 7 0
164 216 7 0
207 609 6 1
208 609 6 1
209 609 6 1
210 609 6 1
211 609 6 1
311 658 6 1
212 609 6 1
312 658 6 1
213 609 6 1
313 658 6 1
214 609 6 1
314 658 6 1
315 658 6 1
316 658 6 1
317 658 6 1
318 658 6 1
319 658 6 1
320 658 6 1
321 658 6 1
322 658 6 1
323 658 6 1
324 658 6 1
325 658 6 1
326 658 6 1
327 658 6 1
328 658 6 1
329 658 6 1
330 658 6 1
331 658 6 1
332 658 6 1
333 658 6 1
334 658 6 1
335 658 6 1
336 658 6 1
337 658 6 1
338 658 6 1
165 560 6 1
166 560 6 1
167 560 6 1
168 560 6 1
169 560 6 1
170 560 6 1
171 560 6 1
172 560 6 1
173 560 6 1
174 560 6 1
478 481 6 1
479 481 6 1
480 481 6 1
481 481 6 1
482 481 6 1
483 481 6 1
484 481 6 1
255 668 6 1
421 599 6 1
256 668 6 1
422 599 6 1
257 668 6 1
423 599 6 1
258 668 6 1
424 599 6 1
259 668 6 1
425 599 6 1
260 668 6 1
426 599 6 1
261 668 6 1
427 599 6 1
460 540 6 1
262 668 6 1
428 599 6 1
461 540 6 1
263 668 6 1
429 599 6 1
462 540 6 1
264 668 6 1
463 540 6 1
265 668 6 1
464 540 6 1
266 668 6 1
465 540 6 1
267 668 6 1
466 540 6 1
268 668 6 1
269 668 6 1
270 668 6 1
271 668 6 1
272 668 6 1
273 668 6 1
274 668 6 1
275 668 6 1
276 668 6 1
277 668 6 1
278 668 6 1
279 668 6 1
280 668 6 1
281 668 6 1
282 668 6 1
148 226 7 0
283 668 6 1
149 226 7 0
284 668 6 1
150 226 7 0
285 668 6 1
151 226 7 0
286 668 6 1
152 226 7 0
287 668 6 1
153 226 7 0
288 668 6 1
154 226 7 0
289 668 6 1
155 226 7 0
290 668 6 1
156 226 7 0
291 668 6 1
157 226 7 0
292 668 6 1
158 226 7 0
293 668 6 1
294 668 6 1
295 668 6 1
296 668 6 1
297 668 6 1
298 668 6 1
299 668 6 1
300 668 6 1
301 668 6 1
302 668 6 1
213 619 6 1
214 619 6 1
215 619 6 1
216 619 6 1
217 619 6 1
218 619 6 1
219 619 6 1
474 491 6 1
475 491 6 1
476 491 6 1
411 609 6 1
477 491 6 1
179 570 6 1
412 609 6 1
478 491 6 1
180 570 6 1
413 609 6 1
479 491 6 1
181 570 6 1
414 609 6 1
480 491 6 1
182 570 6 1
415 609 6 1
183 570 6 1
416 609 6 1
184 570 6 1
417 609 6 1
185 570 6 1
418 609 6 1
186 570 6 1
419 609 6 1
187 570 6 1
188 570 6 1
457 550 6 1
458 550 6 1
459 550 6 1
460 550 6 1
461 550 6 1
462 550 6 1
463 550 6 1
138 236 7 0
139 236 7 0
140 236 7 0
141 236 7 0
142 236 7 0
143 236 7 0
144 236 7 0
145 236 7 0
146 236 7 0
147 236 7 0
219 629 6 1
220 629 6 1
221 629 6 1
222 629 6 1
223 629 6 1
224 629 6 1
225 629 6 1
226 629 6 1
495 442 6 1
496 442 6 1
497 442 6 1
399 619 6 1
498 442 6 1
400 619 6 1
499 442 6 1
401 619 6 1
500 442 6 1
402 619 6 1
501 442 6 1
403 619 6 1
404 619 6 1
470 501 6 1
405 619 6 1
471 501 6 1
406 619 6 1
472 501 6 1
407 619 6 1
473 501 6 1
408 619 6 1
474 501 6 1
409 619 6 1
475 501 6 1
476 501 6 1
454 560 6 1
455 560 6 1
190 580 6 1
456 560 6 1
191 580 6 1
457 560 6 1
192 580 6 1
458 560 6 1
193 580 6 1
459 560 6 1
126 246 7 0
194 580 6 1
460 560 6 1
127 246 7 0
195 580 6 1
128 246 7 0
196 580 6 1
129 246 7 0
197 580 6 1
130 246 7 0
198 580 6 1
131 246 7 0
132 246 7 0
133 246 7 0
134 246 7 0
135 246 7 0
136 246 7 0
