2595 480 320
178 171 19 0
179 171 19 0
78 179 12 1
180 171 19 0
79 179 12 1
181 171 19 0
80 179 12 1
182 171 19 0
81 179 12 1
183 171 19 0
6 148 13 1
82 179 12 1
184 171 19 0
7 148 13 1
83 179 12 1
8 148 13 1
84 179 12 1
9 148 13 1
10 148 13 1
64 218 12 1
65 218 12 1
66 218 12 1
67 218 12 1
68 218 12 1
69 218 12 1
70 218 12 1
71 218 12 1
190 210 11 1
191 210 11 1
192 210 11 1
193 210 11 1
194 210 11 1
195 210 11 1
450 155 15 1
375 124 14 1
376 124 14 1
377 124 14 1
226 210 11 1
378 124 14 1
227 210 11 1
379 124 14 1
228 210 11 1
380 124 14 1
229 210 11 1
381 124 14 1
230 210 11 1
382 124 14 1
231 210 11 1
383 124 14 1
232 210 11 1
384 124 14 1
233 210 11 1
385 124 14 1
234 210 11 1
235 210 11 1
236 210 11 1
175 179 19 0
176 179 19 0
75 187 12 1
177 179 19 0
76 187 12 1
178 179 19 0
77 187 12 1
179 179 19 0
78 187 12 1
180 179 19 0
79 187 12 1
181 179 19 0
80 187 12 1
81 187 12 1
184 218 11 1
185 218 11 1
186 218 11 1
187 218 11 1
188 218 11 1
139 296 18 0
189 218 11 1
140 296 18 0
199 218 11 1
200 218 11 1
201 218 11 1
202 218 11 1
203 218 11 1
204 218 11 1
205 218 11 1
206 218 11 1
207 218 11 1
31 195 12 1
208 218 11 1
32 195 12 1
209 218 11 1
33 195 12 1
210 218 11 1
34 195 12 1
211 218 11 1
35 195 12 1
212 218 11 1
36 195 12 1
213 218 11 1
37 195 12 1
214 218 11 1
38 195 12 1
215 218 11 1
39 195 12 1
216 218 11 1
217 218 11 1
218 218 11 1
219 218 11 1
371 132 14 1
220 218 11 1
221 218 11 1
222 218 11 1
223 218 11 1
224 218 11 1
171 187 19 0
172 187 19 0
173 187 19 0
174 187 19 0
175 187 19 0
74 195 12 1
176 187 19 0
75 195 12 1
177 187 19 0
76 195 12 1
77 195 12 1
78 195 12 1
79 195 12 1
80 195 12 1
147 304 18 0
148 304 18 0
149 304 18 0
150 304 18 0
151 304 18 0
152 304 18 0
153 304 18 0
154 304 18 0
155 304 18 0
156 304 18 0
157 304 18 0
158 304 18 0
159 304 18 0
160 304 18 0
161 304 18 0
162 304 18 0
163 304 18 0
164 304 18 0
165 304 18 0
166 304 18 0
167 304 18 0
40 203 12 1
168 304 18 0
41 203 12 1
169 304 18 0
42 203 12 1
270 296 17 0
170 304 18 0
43 203 12 1
271 296 17 0
171 304 18 0
44 203 12 1
272 296 17 0
172 304 18 0
45 203 12 1
273 296 17 0
173 304 18 0
46 203 12 1
274 296 17 0
174 304 18 0
47 203 12 1
175 304 18 0
48 203 12 1
176 304 18 0
49 203 12 1
177 304 18 0
50 203 12 1
178 304 18 0
179 304 18 0
1 133 13 1
180 304 18 0
2 133 13 1
181 304 18 0
3 133 13 1
182 304 18 0
4 133 13 1
183 304 18 0
5 133 13 1
184 304 18 0
6 133 13 1
185 304 18 0
7 133 13 1
186 304 18 0
187 304 18 0
188 304 18 0
189 304 18 0
190 304 18 0
191 304 18 0
166 195 19 0
167 195 19 0
168 195 19 0
169 195 19 0
170 195 19 0
171 195 19 0
172 195 19 0
74 203 12 1
75 203 12 1
76 203 12 1
77 203 12 1
78 203 12 1
79 203 12 1
80 203 12 1
433 140 15 1
434 140 15 1
435 140 15 1
436 140 15 1
437 140 15 1
438 140 15 1
439 140 15 1
440 140 15 1
441 140 15 1
244 304 17 0
245 304 17 0
246 304 17 0
247 304 17 0
248 304 17 0
249 304 17 0
250 304 17 0
251 304 17 0
252 304 17 0
253 304 17 0
254 304 17 0
255 304 17 0
393 257 16 1
394 257 16 1
395 257 16 1
396 257 16 1
397 257 16 1
398 257 16 1
399 257 16 1
53 211 12 1
54 211 12 1
4 141 13 1
55 211 12 1
5 141 13 1
56 211 12 1
6 141 13 1
82 172 12 1
57 211 12 1
7 141 13 1
83 172 12 1
58 211 12 1
8 141 13 1
84 172 12 1
59 211 12 1
161 203 19 0
9 141 13 1
85 172 12 1
60 211 12 1
162 203 19 0
10 141 13 1
86 172 12 1
61 211 12 1
163 203 19 0
87 172 12 1
62 211 12 1
164 203 19 0
88 172 12 1
63 211 12 1
165 203 19 0
89 172 12 1
64 211 12 1
166 203 19 0
167 203 19 0
168 203 19 0
71 211 12 1
72 211 12 1
73 211 12 1
74 211 12 1
75 211 12 1
76 211 12 1
77 211 12 1
78 211 12 1
441 148 15 1
442 148 15 1
443 148 15 1
444 148 15 1
445 148 15 1
446 148 15 1
447 148 15 1
448 148 15 1
449 148 15 1
450 148 15 1
383 117 14 1
384 117 14 1
385 117 14 1
234 203 11 1
386 117 14 1
235 203 11 1
387 117 14 1
388 265 16 1
236 203 11 1
388 117 14 1
389 265 16 1
237 203 11 1
390 265 16 1
238 203 11 1
391 265 16 1
239 203 11 1
392 265 16 1
240 203 11 1
393 265 16 1
241 203 11 1
394 265 16 1
242 203 11 1
395 265 16 1
243 203 11 1
178 172 19 0
179 172 19 0
78 180 12 1
180 172 19 0
79 180 12 1
181 172 19 0
80 180 12 1
182 172 19 0
81 180 12 1
183 172 19 0
82 180 12 1
184 172 19 0
83 180 12 1
84 180 12 1
8 149 13 1
66 219 12 1
67 219 12 1
68 219 12 1
188 211 11 1
189 211 11 1
190 211 11 1
191 211 11 1
192 211 11 1
193 211 11 1
194 211 11 1
195 211 11 1
196 211 11 1
197 211 11 1
198 211 11 1
199 211 11 1
372 125 14 1
373 125 14 1
374 125 14 1
375 125 14 1
376 125 14 1
225 211 11 1
377 125 14 1
226 211 11 1
378 125 14 1
227 211 11 1
379 125 14 1
228 211 11 1
380 125 14 1
