293 480 320
294 209 7 1
281 215 12 0
239 158 10 0
296 186 7 1
262 152 5 1
283 169 6 1
284 169 6 1
253 181 11 0
222 216 9 0
293 215 7 1
243 233 9 0
223 216 9 0
244 233 9 0
295 192 7 1
282 221 12 0
265 204 8 1
261 158 5 1
247 187 11 0
262 158 5 1
248 187 11 0
247 141 10 0
294 221 7 1
248 141 10 0
258 210 8 1
289 175 6 1
295 221 7 1
259 210 8 1
280 227 2 0
260 210 8 1
281 227 2 0
261 210 8 1
295 198 7 1
282 227 2 0
262 210 8 1
228 222 9 0
239 170 5 1
283 227 2 0
257 164 5 1
263 210 8 1
229 222 9 0
284 227 2 0
258 164 5 1
264 210 8 1
244 147 10 0
250 170 5 1
294 227 7 1
295 227 7 1
296 227 7 1
278 210 12 0
295 204 7 1
293 181 7 1
294 181 7 1
295 181 7 1
241 153 10 0
236 228 9 0
220 211 9 0
293 210 7 1
238 159 10 0
281 216 12 0
239 159 10 0
296 187 7 1
262 153 5 1
263 153 5 1
285 170 6 1
286 170 6 1
252 182 11 0
293 216 7 1
253 182 11 0
223 217 9 0
224 217 9 0
245 234 9 0
295 193 7 1
282 222 12 0
266 205 8 1
246 188 11 0
261 159 5 1
247 142 10 0
289 176 6 1
295 222 7 1
279 228 2 0
290 176 6 1
296 222 7 1
280 228 2 0
281 228 2 0
295 199 7 1
282 228 2 0
239 171 5 1
256 165 5 1
283 228 2 0
240 171 5 1
257 165 5 1
284 228 2 0
241 171 5 1
230 223 9 0
285 228 2 0
245 171 5 1
246 171 5 1
243 148 10 0
247 171 5 1
244 148 10 0
248 171 5 1
249 171 5 1
293 228 7 1
294 228 7 1
295 205 7 1
279 211 12 0
296 182 7 1
241 154 10 0
259 148 5 1
237 229 9 0
238 229 9 0
220 212 9 0
221 212 9 0
293 211 7 1
295 188 7 1
281 217 12 0
238 160 10 0
296 188 7 1
263 154 5 1
286 171 6 1
252 183 11 0
287 171 6 1
293 217 7 1
225 218 9 0
245 235 9 0
246 235 9 0
295 194 7 1
281 223 12 0
282 223 12 0
244 189 11 0
245 189 11 0
260 160 5 1
266 206 8 1
246 189 11 0
261 160 5 1
246 143 10 0
290 177 6 1
296 223 7 1
280 229 2 0
281 229 2 0
295 200 7 1
255 166 5 1
282 229 2 0
256 166 5 1
283 229 2 0
284 229 2 0
241 172 5 1
231 224 9 0
242 172 5 1
243 172 5 1
244 172 5 1
245 172 5 1
243 149 10 0
294 206 7 1
295 206 7 1
279 212 12 0
296 183 7 1
297 183 7 1
240 155 10 0
259 149 5 1
260 149 5 1
239 230 9 0
240 230 9 0
221 213 9 0
293 212 7 1
238 161 10 0
295 189 7 1
281 218 12 0
262 155 5 1
263 155 5 1
250 184 11 0
251 184 11 0
287 172 6 1
293 218 7 1
234 167 5 1
235 167 5 1
225 219 9 0
236 167 5 1
295 195 7 1
247 236 9 0
248 236 9 0
244 190 11 0
259 161 5 1
260 161 5 1
266 207 8 1
246 144 10 0
290 178 6 1
280 230 2 0
291 178 6 1
297 224 7 1
254 167 5 1
281 230 2 0
295 201 7 1
282 230 2 0
283 230 2 0
284 230 2 0
232 225 9 0
242 150 10 0
294 207 7 1
280 213 12 0
296 184 7 1
240 156 10 0
297 184 7 1
260 150 5 1
261 150 5 1
241 231 9 0
221 214 9 0
222 214 9 0
293 213 7 1
255 179 11 0
295 190 7 1
282 219 12 0
262 156 5 1
249 185 11 0
287 173 6 1
293 219 7 1
288 173 6 1
236 168 5 1
226 220 9 0
237 168 5 1
295 196 7 1
227 220 9 0
282 225 2 0
249 237 9 0
258 162 5 1
250 237 9 0
244 191 11 0
259 162 5 1
266 208 8 1
245 145 10 0
246 145 10 0
252 168 5 1
253 168 5 1
297 225 7 1
291 179 6 1
292 179 6 1
295 202 7 1
282 231 2 0
233 226 9 0
234 226 9 0
242 151 10 0
294 208 7 1
280 214 12 0
296 185 7 1
239 157 10 0
240 157 10 0
261 151 5 1
293 214 7 1
222 215 9 0
242 232 9 0
254 180 11 0
255 180 11 0
295 191 7 1
282 220 12 0
264 203 8 1
265 203 8 1
262 157 5 1
248 186 11 0
249 186 11 0
293 220 7 1
294 220 7 1
288 174 6 1
257 209 8 1
248 140 10 0
289 174 6 1
258 209 8 1
280 226 2 0
237 169 5 1
281 226 2 0
227 221 9 0
295 197 7 1
238 169 5 1
282 226 2 0
283 226 2 0
284 226 2 0
250 238 9 0
264 209 8 1
258 163 5 1
251 238 9 0
265 209 8 1
266 209 8 1
244 146 10 0
250 169 5 1
251 169 5 1
252 169 5 1
296 226 7 1
297 226 7 1
295 203 7 1
293 180 6 1
242 152 10 0
235 227 9 0
220 210 9 0
293 209 7 1
