923 284 398
215 79 13 0
216 79 13 0
217 79 13 0
218 79 13 0
254 226 12 0
219 79 13 0
255 226 12 0
220 79 13 0
256 226 12 0
257 226 12 0
258 226 12 0
259 226 12 0
260 226 12 0
149 208 9 1
150 208 9 1
151 208 9 1
152 208 9 1
153 208 9 1
154 208 9 1
155 208 9 1
255 220 12 0
256 220 12 0
257 220 12 0
258 220 12 0
259 220 12 0
260 220 12 0
99 288 11 1
149 202 9 1
261 220 12 0
100 288 11 1
150 202 9 1
101 288 11 1
151 202 9 1
102 288 11 1
164 251 9 1
152 202 9 1
103 288 11 1
165 251 9 1
153 202 9 1
104 288 11 1
166 251 9 1
105 288 11 1
167 251 9 1
106 288 11 1
168 251 9 1
255 214 12 0
256 214 12 0
257 214 12 0
258 214 12 0
259 214 12 0
260 214 12 0
261 214 12 0
162 245 9 1
163 245 9 1
164 245 9 1
103 282 11 1
165 245 9 1
104 282 11 1
166 245 9 1
105 282 11 1
167 245 9 1
106 282 11 1
168 245 9 1
107 282 11 1
108 282 11 1
109 282 11 1
255 208 12 0
256 208 12 0
257 208 12 0
170 288 10 1
258 208 12 0
171 288 10 1
259 208 12 0
172 288 10 1
160 239 9 1
260 208 12 0
173 288 10 1
161 239 9 1
261 208 12 0
174 288 10 1
162 239 9 1
175 288 10 1
163 239 9 1
176 288 10 1
164 239 9 1
165 239 9 1
104 276 11 1
166 239 9 1
105 276 11 1
106 276 11 1
107 276 11 1
108 276 11 1
109 276 11 1
110 276 11 1
168 282 10 1
169 282 10 1
170 282 10 1
171 282 10 1
159 233 9 1
172 282 10 1
160 233 9 1
173 282 10 1
161 233 9 1
174 282 10 1
162 233 9 1
163 233 9 1
164 233 9 1
165 233 9 1
163 276 10 1
164 276 10 1
165 276 10 1
166 276 10 1
167 276 10 1
168 276 10 1
156 227 9 1
169 276 10 1
157 227 9 1
170 276 10 1
158 227 9 1
171 276 10 1
159 227 9 1
160 227 9 1
161 227 9 1
162 227 9 1
163 227 9 1
219 92 13 0
220 92 13 0
221 92 13 0
222 92 13 0
223 92 13 0
224 92 13 0
225 92 13 0
226 92 13 0
154 221 9 1
155 221 9 1
156 221 9 1
157 221 9 1
158 221 9 1
159 221 9 1
160 221 9 1
217 86 13 0
218 86 13 0
219 86 13 0
220 86 13 0
256 233 12 0
221 86 13 0
222 86 13 0
223 86 13 0
152 215 9 1
